Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
NCZ42,10.5,Low Fat,0.0090443174,Household,238.3248,OUT010,1998.0,Small,Tier 3,Grocery Store,711.0744
FDR04,7.075,Low Fat,0.03777249,Frozen Foods,98.0068,OUT010,1998.0,Small,Tier 3,Grocery Store,291.6204
FDV51,16.35,Low Fat,0.054463442,Meat,163.8842,OUT010,1998.0,Small,Tier 3,Grocery Store,165.7842
FDC02,21.35,Low Fat,0.115194717,Canned,258.3278,OUT010,1998.0,Small,Tier 3,Grocery Store,520.6556
FDN09,14.15,Low Fat,0.05837308,Snack Foods,243.9828,OUT010,1998.0,Small,Tier 3,Grocery Store,731.0484
FDB15,10.895,Low Fat,0.228993134,Dairy,263.4568,OUT010,1998.0,Small,Tier 3,Grocery Store,527.3136
FDQ37,20.75,Low Fat,0.14940405699999998,Breakfast,192.8478,OUT010,1998.0,Small,Tier 3,Grocery Store,774.9912
FDC15,18.1,Low Fat,0.297883712,Dairy,156.7288,OUT010,1998.0,Small,Tier 3,Grocery Store,314.2576
NCD19,8.93,Low Fat,0.022059594,Household,56.0614,OUT010,1998.0,Small,Tier 3,Grocery Store,276.307
NCM55,15.6,Low Fat,0.111685868,Others,184.7924,OUT010,1998.0,Small,Tier 3,Grocery Store,370.1848
FDR49,8.71,Low Fat,0.233039817,Canned,49.5376,,1998.0,Small,Tier 3,Grocery Store,95.8752
FDA44,19.7,Low Fat,0.089083914,Fruits and Vegetables,54.593,OUT010,1998.0,Small,Tier 3,Grocery Store,56.593
FDD29,12.15,Low Fat,0.030815427000000006,Frozen Foods,252.0698,OUT010,1998.0,Small,Tier 3,Grocery Store,1014.6792
FDZ01,8.975,Regular,0.01516265,Canned,101.899,OUT010,1998.0,Small,Tier 3,Grocery Store,103.199
FDY07,11.8,Low Fat,0.06093978666666666,Fruits and Vegetables,46.5402,OUT010,1998.0,Small,Tier 3,Grocery Store,229.701
FDU32,8.785,Low Fat,0.02053969516666667,Fruits and Vegetables,123.0414,OUT010,1998.0,Small,Tier 3,Grocery Store,121.8414
FDX57,17.25,Regular,0.079113947,Snack Foods,99.2068,OUT010,1998.0,Small,Tier 3,Grocery Store,97.2068
DRI39,13.8,Low Fat,0.162462044,Dairy,55.893,OUT010,1998.0,Small,Tier 3,Grocery Store,226.372
DRN47,12.1,Low Fat,0.028164527,Hard Drinks,178.166,OUT010,1998.0,Small,Tier 3,Grocery Store,539.298
FDN15,17.5,Low Fat,0.028009382000000003,Meat,141.718,OUT010,1998.0,Small,Tier 3,Grocery Store,419.454
FDS03,7.825,Low Fat,0.133281968,Meat,63.2826,OUT010,1998.0,Small,Tier 3,Grocery Store,129.1652
FDE35,7.06,Regular,0.073480266,Starchy Foods,58.8904,OUT010,1998.0,Small,Tier 3,Grocery Store,58.5904
FDL48,19.35,Regular,0.137697119,Baking Goods,47.1034,OUT010,1998.0,Small,Tier 3,Grocery Store,145.8102
FDX26,17.7,Low Fat,0.146973462,Dairy,184.1292,OUT010,1998.0,Small,Tier 3,Grocery Store,547.2876
NCV30,20.2,Low Fat,0.110356797,Household,62.051,OUT010,1998.0,Small,Tier 3,Grocery Store,126.502
NCQ05,11.395,Low Fat,0.03616416,Health and Hygiene,150.1708,OUT010,1998.0,Small,Tier 3,Grocery Store,300.9416
FDU40,20.85,Low Fat,0.062606583,Frozen Foods,192.2478,OUT010,1998.0,Small,Tier 3,Grocery Store,387.4956
DRK12,9.5,Low Fat,0.03668952862500001,Soft Drinks,32.89,OUT010,1998.0,Small,Tier 3,Grocery Store,33.29
DRG51,12.1,Low Fat,0.019314961,Dairy,164.6526,OUT010,1998.0,Small,Tier 3,Grocery Store,657.8104
DRM37,15.35,Low Fat,0.16135017599999998,Soft Drinks,196.6768,OUT010,1998.0,Small,Tier 3,Grocery Store,591.2304
FDF21,10.3,Regular,0.098464979,Fruits and Vegetables,188.653,OUT010,1998.0,Small,Tier 3,Grocery Store,189.753
FDO10,13.65,Regular,0.021343732,Snack Foods,58.3588,OUT010,1998.0,Small,Tier 3,Grocery Store,114.5176
FDZ23,17.75,Regular,0.112985849,Baking Goods,185.424,OUT010,1998.0,Small,Tier 3,Grocery Store,745.696
DRF23,4.61,Low Fat,0.205294827,Hard Drinks,172.8396,OUT010,1998.0,Small,Tier 3,Grocery Store,174.4396
NCN43,12.15,Low Fat,0.011314423,Others,122.973,OUT010,1998.0,Small,Tier 3,Grocery Store,123.173
FDP01,20.75,Regular,0.105994654,Breakfast,150.5682,OUT010,1998.0,Small,Tier 3,Grocery Store,762.341
FDW56,7.68,Low Fat,0.118672537,Fruits and Vegetables,192.2162,OUT010,1998.0,Small,Tier 3,Grocery Store,384.8324
FDO34,17.7,Low Fat,0.050111641,Snack Foods,165.9816,OUT010,1998.0,Small,Tier 3,Grocery Store,167.7816
FDG31,12.15,Low Fat,0.063430788,Meat,65.4826,OUT010,1998.0,Small,Tier 3,Grocery Store,258.3304
NCS54,13.6,Low Fat,0.016726506000000002,Household,176.037,OUT010,1998.0,Small,Tier 3,Grocery Store,352.874
FDM02,12.5,Regular,0.12341737,Canned,86.0198,OUT010,1998.0,Small,Tier 3,Grocery Store,87.2198
FDL52,6.635,Regular,0.07714555299999999,Frozen Foods,39.8506,OUT010,1998.0,Small,Tier 3,Grocery Store,75.9012
FDM28,15.7,Low Fat,0.075661985,Frozen Foods,181.366,OUT010,1998.0,Small,Tier 3,Grocery Store,179.766
NCY41,16.75,Low Fat,0.126765903,Health and Hygiene,35.7532,OUT010,1998.0,Small,Tier 3,Grocery Store,143.8128
NCA54,16.5,Low Fat,0.061330521,Household,178.7318,OUT010,1998.0,Small,Tier 3,Grocery Store,360.8636
NCF18,18.35,Low Fat,0.148938624,Household,191.9504,OUT010,1998.0,Small,Tier 3,Grocery Store,767.0016
NCX41,19.0,Low Fat,0.017006156999999997,Health and Hygiene,211.0244,OUT010,1998.0,Small,Tier 3,Grocery Store,1482.0708
FDB34,15.25,Low Fat,0.044539371,Snack Foods,85.3198,OUT010,1998.0,Small,Tier 3,Grocery Store,261.6594
NCK06,5.03,Low Fat,0.014472516,Household,122.0756,OUT010,1998.0,Small,Tier 3,Grocery Store,121.1756
NCZ30,6.59,Low Fat,0.043828293,Household,121.4098,OUT010,1998.0,Small,Tier 3,Grocery Store,241.0196
FDO22,13.5,Regular,0.029893094,Snack Foods,81.096,OUT010,1998.0,Small,Tier 3,Grocery Store,159.792
FDU60,20.0,Regular,0.100262068,Baking Goods,169.6132,OUT010,1998.0,Small,Tier 3,Grocery Store,169.1132
DRM23,16.6,Low Fat,0.227189581,Hard Drinks,173.9422,OUT010,1998.0,Small,Tier 3,Grocery Store,172.4422
FDY24,4.88,Regular,0.223440258,Baking Goods,52.2298,OUT010,1998.0,Small,Tier 3,Grocery Store,161.7894
FDV28,16.1,Regular,0.267352587,Frozen Foods,34.9558,OUT010,1998.0,Small,Tier 3,Grocery Store,67.9116
FDT58,9.0,Low Fat,0.143870574,Snack Foods,169.4816,OUT010,1998.0,Small,Tier 3,Grocery Store,503.3448
NCI31,20.0,Low Fat,0.136124989,Others,38.319,OUT010,1998.0,Small,Tier 3,Grocery Store,146.476
FDM32,20.5,Low Fat,0.015470471750000001,Fruits and Vegetables,90.883,OUT010,1998.0,Small,Tier 3,Grocery Store,89.883
FDJ55,12.8,Regular,0.039385992,Meat,224.8404,OUT010,1998.0,Small,Tier 3,Grocery Store,1575.2828
FDO56,10.195,Regular,0.075291577,Fruits and Vegetables,119.1808,OUT010,1998.0,Small,Tier 3,Grocery Store,351.5424
NCW42,18.2,Low Fat,0.097865088,Household,221.8456,OUT010,1998.0,Small,Tier 3,Grocery Store,884.1824
FDD16,20.5,Low Fat,0.06084763400000001,Frozen Foods,75.0696,OUT010,1998.0,Small,Tier 3,Grocery Store,149.1392
NCG18,15.3,Low Fat,0.038460297,Household,104.0332,OUT010,1998.0,Small,Tier 3,Grocery Store,205.0664
FDK02,12.5,Low Fat,0.187841082,Canned,119.244,OUT010,1998.0,Small,Tier 3,Grocery Store,119.844
FDQ31,5.785,Regular,0.0901292,Fruits and Vegetables,89.8856,OUT010,1998.0,Small,Tier 3,Grocery Store,175.7712
NCJ17,7.68,Low Fat,0.255348289,Health and Hygiene,84.4224,OUT010,1998.0,Small,Tier 3,Grocery Store,170.4448
FDD57,18.1,Low Fat,0.037492325,Fruits and Vegetables,95.5094,OUT010,1998.0,Small,Tier 3,Grocery Store,95.2094
FDK52,18.25,Low Fat,0.132596101,Frozen Foods,226.2062,OUT010,1998.0,Small,Tier 3,Grocery Store,677.1186
NCK18,9.6,Low Fat,0.011211251,Household,166.9184,OUT010,1998.0,Small,Tier 3,Grocery Store,660.4736
FDU58,6.61,Regular,0.04855968,Snack Foods,188.4898,OUT010,1998.0,Small,Tier 3,Grocery Store,187.0898
FDL09,19.6,Regular,0.22417463,Snack Foods,168.8816,OUT019,1985.0,Small,Tier 3,Grocery Store,167.7816
FDP11,15.85,Low Fat,0.11566015,Breads,218.3166,OUT010,1998.0,Small,Tier 3,Grocery Store,435.4332
NCG43,20.2,Low Fat,0.124261614,Household,93.6462,OUT010,1998.0,Small,Tier 3,Grocery Store,277.6386
FDL14,8.115,Regular,0.05382735,Canned,155.2972,OUT010,1998.0,Small,Tier 3,Grocery Store,311.5944
FDS45,5.175,Regular,0.04937018,Snack Foods,106.7622,OUT010,1998.0,Small,Tier 3,Grocery Store,211.7244
FDD46,6.035,Low Fat,0.236433601,Snack Foods,155.5998,,1998.0,Small,Tier 3,Grocery Store,153.7998
FDR43,18.2,Low Fat,0.270300331,Fruits and Vegetables,38.319,OUT010,1998.0,Small,Tier 3,Grocery Store,109.857
FDK03,12.6,Regular,0.123727659,Dairy,253.0356,OUT010,1998.0,Small,Tier 3,Grocery Store,254.3356
FDO57,20.75,Low Fat,0.181958524,Snack Foods,161.0578,OUT010,1998.0,Small,Tier 3,Grocery Store,481.3734
FDF16,7.3,Low Fat,0.144167934,Frozen Foods,146.3076,OUT010,1998.0,Small,Tier 3,Grocery Store,886.8456
FDK08,9.195,Regular,0.204713036,Fruits and Vegetables,101.0016,OUT010,1998.0,Small,Tier 3,Grocery Store,202.4032
FDW12,8.315,Regular,0.059540542,Baking Goods,143.6444,OUT010,1998.0,Small,Tier 3,Grocery Store,145.1444
FDE04,19.75,Regular,0.030166924,Frozen Foods,179.766,OUT010,1998.0,Small,Tier 3,Grocery Store,719.064
FDZ45,14.1,Low Fat,0.111936685,Snack Foods,198.8084,OUT010,1998.0,Small,Tier 3,Grocery Store,992.042
FDE34,9.195,Low Fat,0.180588082,Snack Foods,182.2634,OUT010,1998.0,Small,Tier 3,Grocery Store,363.5268
NCJ18,12.35,Low Fat,0.274405193,Household,117.1124,OUT010,1998.0,Small,Tier 3,Grocery Store,355.5372
FDX27,20.7,Regular,0.191008614,Dairy,92.8436,OUT010,1998.0,Small,Tier 3,Grocery Store,189.0872
NCH30,17.1,Low Fat,0.112402118,Household,112.986,OUT010,1998.0,Small,Tier 3,Grocery Store,113.186
NCM29,11.5,Low Fat,0.029529474,Health and Hygiene,132.6626,OUT010,1998.0,Small,Tier 3,Grocery Store,262.3252
NCU54,8.88,Low Fat,0.165073642,Household,207.727,OUT010,1998.0,Small,Tier 3,Grocery Store,209.727
FDH44,19.1,Regular,0.043304681,Fruits and Vegetables,147.5418,OUT010,1998.0,Small,Tier 3,Grocery Store,294.2836
FDR59,14.5,Regular,0.106894492,Breads,260.4594,OUT010,1998.0,Small,Tier 3,Grocery Store,1046.6376
FDN08,7.72,Regular,0.066336277,Fruits and Vegetables,116.6466,OUT010,1998.0,Small,Tier 3,Grocery Store,117.8466
FDB27,7.575,Low Fat,0.092711708,Dairy,197.7768,OUT010,1998.0,Small,Tier 3,Grocery Store,197.0768
FDA03,18.5,Regular,0.076097035,Dairy,145.8102,OUT010,1998.0,Small,Tier 3,Grocery Store,291.6204
DRJ13,12.65,Low Fat,0.105265475,Soft Drinks,159.9578,OUT010,1998.0,Small,Tier 3,Grocery Store,962.7468
FDE53,10.895,Low Fat,0.044991875999999986,Frozen Foods,107.228,OUT010,1998.0,Small,Tier 3,Grocery Store,426.112
DRJ11,9.5,Low Fat,0.142425145,Hard Drinks,189.9872,OUT010,1998.0,Small,Tier 3,Grocery Store,756.3488
NCB06,17.6,Low Fat,0.137807013,Health and Hygiene,161.792,OUT010,1998.0,Small,Tier 3,Grocery Store,159.792
DRL01,19.5,Regular,0.129170642,Soft Drinks,233.9958,OUT010,1998.0,Small,Tier 3,Grocery Store,467.3916
NCY18,7.285,Low Fat,0.052141447,Household,174.9054,OUT010,1998.0,Small,Tier 3,Grocery Store,525.3162
FDV60,20.2,Regular,0.196438668,Baking Goods,194.611,OUT010,1998.0,Small,Tier 3,Grocery Store,392.822
FDY12,9.8,Regular,0.235354055,Baking Goods,50.8008,OUT010,1998.0,Small,Tier 3,Grocery Store,101.2016
DRE49,20.75,Low Fat,0.035568147,Soft Drinks,151.8024,OUT010,1998.0,Small,Tier 3,Grocery Store,151.8024
FDP44,16.5,Regular,0.133424184,Fruits and Vegetables,102.2332,OUT010,1998.0,Small,Tier 3,Grocery Store,102.5332
FDZ26,11.6,Regular,0.144110205,Dairy,238.5222,,1998.0,Small,Tier 3,Grocery Store,717.0666
NCP41,16.6,Low Fat,0.027133398,Health and Hygiene,106.2596,OUT010,1998.0,Small,Tier 3,Grocery Store,215.7192
FDS37,7.655,Low Fat,0.05346916,Canned,114.1492,OUT010,1998.0,Small,Tier 3,Grocery Store,115.8492
FDH35,18.25,Low Fat,0.10084386,Starchy Foods,166.3526,OUT010,1998.0,Small,Tier 3,Grocery Store,164.4526
FDH10,21.0,Low Fat,0.082526478,Snack Foods,191.8478,OUT010,1998.0,Small,Tier 3,Grocery Store,774.9912
FDJ44,12.3,Regular,0.17797002,Fruits and Vegetables,174.6110286,OUT010,1998.0,Small,Tier 3,Grocery Store,697.7584
FDH53,20.5,Regular,0.032136417,Frozen Foods,83.9592,OUT010,1998.0,Small,Tier 3,Grocery Store,165.1184
FDE26,9.3,Low Fat,0.14897741,Canned,143.0786,OUT010,1998.0,Small,Tier 3,Grocery Store,288.9572
FDM12,16.7,Regular,0.117026714,Baking Goods,189.2214,OUT010,1998.0,Small,Tier 3,Grocery Store,188.4214
FDB58,10.5,Regular,0.022590318,Snack Foods,140.6154,OUT010,1998.0,Small,Tier 3,Grocery Store,283.6308
FDE05,10.895,Regular,0.05432142,Frozen Foods,146.2102,OUT010,1998.0,Small,Tier 3,Grocery Store,437.4306
NCB07,19.2,Low Fat,0.12973174699999998,Household,196.211,OUT010,1998.0,Small,Tier 3,Grocery Store,589.2330000000002
NCV41,14.35,Low Fat,0.028519419,Health and Hygiene,109.2228,OUT010,1998.0,Small,Tier 3,Grocery Store,221.0456
DRJ23,18.35,Low Fat,0.069745165,Hard Drinks,190.2872,OUT010,1998.0,Small,Tier 3,Grocery Store,378.1744
FDZ10,17.85,Low Fat,0.074422769,Snack Foods,128.002,OUT010,1998.0,Small,Tier 3,Grocery Store,253.004
FDM13,6.425,Low Fat,0.105742544,Breakfast,130.5626,OUT010,1998.0,Small,Tier 3,Grocery Store,131.1626
NCQ54,17.7,Low Fat,0.020993364,Household,166.8474,OUT010,1998.0,Small,Tier 3,Grocery Store,168.4474
FDW38,5.325,Regular,0.23212188,Dairy,55.5298,OUT010,1998.0,Small,Tier 3,Grocery Store,53.9298
FDY32,7.605,Low Fat,0.216323008,Fruits and Vegetables,165.021,OUT010,1998.0,Small,Tier 3,Grocery Store,815.605
DRL35,15.7,Low Fat,0.02633220271428572,Hard Drinks,43.377,OUT010,1998.0,Small,Tier 3,Grocery Store,129.83100000000002
FDB22,8.02,Low Fat,0.186528819,Snack Foods,151.9998,OUT010,1998.0,Small,Tier 3,Grocery Store,307.5996
FDV37,13.0,Regular,0.139785104,Canned,196.2426,OUT010,1998.0,Small,Tier 3,Grocery Store,197.7426
FDF26,6.825,Regular,0.078057026,Canned,154.5998,OUT010,1998.0,Small,Tier 3,Grocery Store,153.7998
NCP55,14.65,Low Fat,0.0088731735,Others,56.4614,OUT010,1998.0,Small,Tier 3,Grocery Store,55.2614
FDU15,13.65,Regular,0.044526443,Meat,37.9532,OUT010,1998.0,Small,Tier 3,Grocery Store,71.9064
FDB41,19.0,Regular,0.162882227,Frozen Foods,46.8718,OUT010,1998.0,Small,Tier 3,Grocery Store,189.0872
DRE27,11.85,Low Fat,0.222063351,Dairy,99.6726,OUT010,1998.0,Small,Tier 3,Grocery Store,195.7452
DRH03,17.25,Low Fat,0.05869048,Dairy,91.612,OUT010,1998.0,Small,Tier 3,Grocery Store,93.212
FDD26,8.71,Regular,0.120773451,Canned,186.5924,OUT010,1998.0,Small,Tier 3,Grocery Store,555.2772
FDT32,19.0,Regular,0.10985775,Fruits and Vegetables,188.8214,OUT010,1998.0,Small,Tier 3,Grocery Store,188.4214
DRB13,6.115,Regular,0.01179078,Soft Drinks,189.053,OUT010,1998.0,Small,Tier 3,Grocery Store,948.765
FDX51,9.5,Regular,0.036921781,Meat,194.2452,OUT010,1998.0,Small,Tier 3,Grocery Store,782.9808
FDV22,14.85,Regular,0.016635488,Snack Foods,157.563,OUT010,1998.0,Small,Tier 3,Grocery Store,312.926
NCI54,15.2,Low Fat,0.056237906,Household,110.7912,OUT010,1998.0,Small,Tier 3,Grocery Store,109.1912
FDD56,15.2,Regular,0.17370354899999998,Fruits and Vegetables,175.8054,OUT010,1998.0,Small,Tier 3,Grocery Store,1050.6324
FDU46,10.3,Regular,0.018623146,Snack Foods,87.854,OUT010,1998.0,Small,Tier 3,Grocery Store,259.66200000000003
FDR23,15.85,Low Fat,0.13689554,Breads,176.437,,1998.0,Small,Tier 3,Grocery Store,529.311
FDL46,20.35,Low Fat,0.090480214,Snack Foods,119.5466,OUT010,1998.0,Small,Tier 3,Grocery Store,117.8466
FDL16,12.85,Low Fat,0.294939214,Frozen Foods,47.106,OUT019,1985.0,Small,Tier 3,Grocery Store,139.81799999999998
FDZ03,13.65,Regular,0.13187274,Dairy,188.024,OUT010,1998.0,Small,Tier 3,Grocery Store,745.696
FDQ14,9.27,Low Fat,0.103419257,Dairy,148.105,OUT010,1998.0,Small,Tier 3,Grocery Store,149.805
FDT39,6.26,Regular,0.016516867,Meat,151.1366,OUT010,1998.0,Small,Tier 3,Grocery Store,453.4098
FDY47,8.6,Regular,0.091195818,Breads,130.231,OUT010,1998.0,Small,Tier 3,Grocery Store,129.83100000000002
FDA50,16.25,Low Fat,0.14591330800000002,Dairy,95.441,OUT010,1998.0,Small,Tier 3,Grocery Store,193.082
FDW59,13.15,Low Fat,0.03627089,Breads,85.9566,OUT019,1985.0,Small,Tier 3,Grocery Store,169.1132
FDG33,5.365,Regular,0.234733477,Seafood,173.4764,OUT010,1998.0,Small,Tier 3,Grocery Store,171.7764
FDQ40,11.1,Regular,0.060302689000000013,Frozen Foods,175.8712,OUT010,1998.0,Small,Tier 3,Grocery Store,175.7712
FDX48,17.75,Regular,0.063416566,Baking Goods,154.6656,OUT010,1998.0,Small,Tier 3,Grocery Store,308.9312
DRC25,5.73,Low Fat,0.075943184,Soft Drinks,85.5882,OUT010,1998.0,Small,Tier 3,Grocery Store,171.7764
FDD17,7.5,Low Fat,0.054610829000000014,Frozen Foods,237.1906,OUT010,1998.0,Small,Tier 3,Grocery Store,237.6906
DRO47,10.195,Low Fat,0.187841082,Hard Drinks,112.486,OUT010,1998.0,Small,Tier 3,Grocery Store,113.186
FDU48,18.85,Low Fat,0.0926587,Baking Goods,131.4284,OUT010,1998.0,Small,Tier 3,Grocery Store,263.6568
NCE31,7.67,Low Fat,0.309390255,Household,33.2216,OUT010,1998.0,Small,Tier 3,Grocery Store,138.4864
FDG58,10.695,Regular,0.145253944,Snack Foods,156.8972,OUT010,1998.0,Small,Tier 3,Grocery Store,467.3916
FDZ20,16.1,Low Fat,0.057422821,Fruits and Vegetables,253.7356,OUT010,1998.0,Small,Tier 3,Grocery Store,508.6712
FDU38,10.8,Low Fat,0.138171603,Dairy,191.4504,OUT010,1998.0,Small,Tier 3,Grocery Store,575.2512
DRB48,16.75,Regular,0.041599644,Soft Drinks,40.9822,OUT010,1998.0,Small,Tier 3,Grocery Store,157.1288
FDY60,10.5,Regular,0.044139551,Baking Goods,143.9128,OUT010,1998.0,Small,Tier 3,Grocery Store,143.8128
NCR30,20.6,Low Fat,0.118827682,Household,75.0696,OUT010,1998.0,Small,Tier 3,Grocery Store,149.1392
FDO25,6.3,Low Fat,0.21332355,Canned,208.527,OUT010,1998.0,Small,Tier 3,Grocery Store,419.454
FDW51,6.155,Regular,0.158441218,Meat,213.756,OUT010,1998.0,Small,Tier 3,Grocery Store,852.2239999999998
FDE24,14.85,Low Fat,0.15643727,Baking Goods,142.0812,OUT010,1998.0,Small,Tier 3,Grocery Store,284.9624
FDV34,10.695,Regular,0.019123874,Snack Foods,73.0038,OUT010,1998.0,Small,Tier 3,Grocery Store,147.8076
FDD36,13.3,Low Fat,0.035607579,Baking Goods,119.9124,OUT010,1998.0,Small,Tier 3,Grocery Store,118.5124
FDR26,20.7,Low Fat,0.07169998400000001,Dairy,177.6028,OUT010,1998.0,Small,Tier 3,Grocery Store,531.3084
FDR52,12.65,Regular,0.127283051,Frozen Foods,191.7846,OUT010,1998.0,Small,Tier 3,Grocery Store,382.1692
FDW40,14.0,Regular,0.175991929,Frozen Foods,140.7812,OUT010,1998.0,Small,Tier 3,Grocery Store,142.4812
FDZ12,9.17,Low Fat,0.172365428,Baking Goods,144.847,OUT010,1998.0,Small,Tier 3,Grocery Store,572.5880000000002
FDN12,15.6,Low Fat,0.13575135,Baking Goods,111.5544,OUT010,1998.0,Small,Tier 3,Grocery Store,223.7088
FDW10,21.2,Low Fat,0.118297605,Snack Foods,175.037,OUT010,1998.0,Small,Tier 3,Grocery Store,529.311
FDX21,7.05,Low Fat,0.14221570000000006,Snack Foods,108.7912,OUT010,1998.0,Small,Tier 3,Grocery Store,109.1912
NCN53,5.175,Low Fat,0.050808821,Health and Hygiene,33.6874,OUT010,1998.0,Small,Tier 3,Grocery Store,70.5748
FDL45,15.6,Low Fat,0.063081713,Snack Foods,125.7704,OUT010,1998.0,Small,Tier 3,Grocery Store,250.3408
FDA49,19.7,Low Fat,0.108665723,Canned,86.4198,OUT010,1998.0,Small,Tier 3,Grocery Store,87.2198
FDU35,6.44,Low Fat,0.132590283,Breads,98.17,OUT010,1998.0,Small,Tier 3,Grocery Store,199.74
DRL60,8.52,Low Fat,0.045291822,Soft Drinks,153.5682,OUT010,1998.0,Small,Tier 3,Grocery Store,457.4046
FDR36,6.715,Regular,0.203510667,Baking Goods,41.0454,OUT010,1998.0,Small,Tier 3,Grocery Store,251.6724
FDV59,13.35,Low Fat,0.080387424,Breads,219.2166,OUT010,1998.0,Small,Tier 3,Grocery Store,1524.0162
DRI37,15.85,Low Fat,0.180096791,Soft Drinks,57.3904,OUT010,1998.0,Small,Tier 3,Grocery Store,117.1808
NCE06,5.825,Low Fat,0.15312752300000002,Household,162.4894,OUT010,1998.0,Small,Tier 3,Grocery Store,323.5788
NCH06,12.3,Low Fat,0.12813634599999998,Household,248.346,OUT010,1998.0,Small,Tier 3,Grocery Store,985.384
FDY40,15.5,Regular,0.143670179,Frozen Foods,48.4692,OUT010,1998.0,Small,Tier 3,Grocery Store,49.2692
NCX53,20.1,Low Fat,0.025002878,Health and Hygiene,140.4154,OUT010,1998.0,Small,Tier 3,Grocery Store,567.2616
FDU26,16.7,Regular,0.071335395,Dairy,120.3782,OUT010,1998.0,Small,Tier 3,Grocery Store,119.1782
FDV48,9.195,Regular,0.08639603800000001,Baking Goods,79.0644,OUT010,1998.0,Small,Tier 3,Grocery Store,157.1288
FDP59,20.85,Regular,0.094512029,Breads,104.5648,OUT010,1998.0,Small,Tier 3,Grocery Store,207.7296
FDT10,16.7,Regular,0.103849783,Snack Foods,58.8562,OUT010,1998.0,Small,Tier 3,Grocery Store,59.2562
FDX38,10.5,Regular,0.080688663,Dairy,46.7376,OUT010,1998.0,Small,Tier 3,Grocery Store,47.9376
FDC35,7.435,Low Fat,0.205605116,Starchy Foods,207.7638,OUT010,1998.0,Small,Tier 3,Grocery Store,621.1914
FDI22,12.6,Low Fat,0.161039887,Snack Foods,210.2612,OUT010,1998.0,Small,Tier 3,Grocery Store,418.1224
FDO19,17.7,Regular,0.027779381,Fruits and Vegetables,50.1034,OUT010,1998.0,Small,Tier 3,Grocery Store,97.2068
FDG12,6.635,Regular,0.0042241966666666676,Baking Goods,121.3098,OUT019,1985.0,Small,Tier 3,Grocery Store,120.5098
FDC50,15.85,Low Fat,0.228469522,Canned,93.3094,OUT010,1998.0,Small,Tier 3,Grocery Store,285.6282
NCO06,19.25,Low Fat,0.180820798,Household,35.9558,OUT010,1998.0,Small,Tier 3,Grocery Store,67.9116
FDV09,12.1,Low Fat,0.034427577,Snack Foods,146.6734,OUT010,1998.0,Small,Tier 3,Grocery Store,296.9468
FDQ45,9.5,Regular,0.010453090333333331,Snack Foods,182.3608,OUT010,1998.0,Small,Tier 3,Grocery Store,1102.5648
